id,sequence,trip_id,stop_id,created_at,updated_at
175,17,25,487,2015-04-15 17:01:11 UTC,2015-04-15 17:01:11 UTC
176,18,25,489,2015-04-15 17:01:27 UTC,2015-04-15 17:01:27 UTC
177,19,25,495,2015-04-15 17:01:35 UTC,2015-04-15 17:01:35 UTC
178,20,25,492,2015-04-15 17:01:44 UTC,2015-04-15 17:01:44 UTC
180,21,25,498,2015-04-15 17:03:04 UTC,2015-04-15 17:03:04 UTC
183,22,25,497,2015-04-15 17:03:47 UTC,2015-04-15 17:03:47 UTC
201,0,29,459,2015-04-16 16:28:01 UTC,2015-04-16 16:28:01 UTC
202,1,29,212,2015-04-16 16:28:42 UTC,2015-04-16 16:28:42 UTC
203,2,29,210,2015-04-16 16:28:57 UTC,2015-04-16 16:28:57 UTC
204,3,29,3,2015-04-16 16:29:43 UTC,2015-04-16 16:29:43 UTC
205,4,29,4,2015-04-16 16:29:59 UTC,2015-04-16 16:29:59 UTC
206,5,29,27,2015-04-16 16:30:31 UTC,2015-04-16 16:30:31 UTC
207,6,29,28,2015-04-16 16:30:46 UTC,2015-04-16 16:30:46 UTC
208,7,29,31,2015-04-16 16:31:51 UTC,2015-04-16 16:31:51 UTC
209,8,29,464,2015-04-16 16:32:04 UTC,2015-04-16 16:32:04 UTC
210,9,29,177,2015-04-16 16:32:45 UTC,2015-04-16 16:32:45 UTC
211,10,29,179,2015-04-16 17:51:26 UTC,2015-04-16 17:51:26 UTC
212,11,29,180,2015-04-16 17:51:39 UTC,2015-04-16 17:51:39 UTC
213,12,29,500,2015-04-16 17:51:50 UTC,2015-04-16 17:51:50 UTC
214,13,29,183,2015-04-16 17:57:35 UTC,2015-04-16 17:57:35 UTC
215,14,29,502,2015-04-16 17:57:39 UTC,2015-04-16 17:57:39 UTC
216,15,29,185,2015-04-16 17:57:49 UTC,2015-04-16 17:57:49 UTC
217,16,29,186,2015-04-16 17:57:57 UTC,2015-04-16 17:57:57 UTC
218,17,29,187,2015-04-16 17:58:08 UTC,2015-04-16 17:58:08 UTC
219,18,29,189,2015-04-16 17:58:26 UTC,2015-04-16 17:58:26 UTC
220,19,29,190,2015-04-16 17:58:36 UTC,2015-04-16 17:58:36 UTC
221,20,29,191,2015-04-16 17:58:40 UTC,2015-04-16 17:58:40 UTC
222,21,29,192,2015-04-16 17:58:49 UTC,2015-04-16 17:58:49 UTC
223,22,29,193,2015-04-16 17:59:03 UTC,2015-04-16 17:59:03 UTC
224,23,29,194,2015-04-16 17:59:12 UTC,2015-04-16 17:59:12 UTC
225,24,29,512,2015-04-16 17:59:17 UTC,2015-04-16 17:59:17 UTC
226,25,29,197,2015-04-16 17:59:25 UTC,2015-04-16 17:59:25 UTC
227,26,29,200,2015-04-16 18:00:10 UTC,2015-04-16 18:00:10 UTC
228,27,29,204,2015-04-16 18:00:16 UTC,2015-04-16 18:00:16 UTC
229,28,29,205,2015-04-16 18:00:44 UTC,2015-04-16 18:00:44 UTC
230,0,30,205,2015-04-16 18:45:42 UTC,2015-04-16 18:45:42 UTC
232,1,30,203,2015-04-16 18:46:16 UTC,2015-04-16 18:46:16 UTC
234,2,30,199,2015-04-16 18:46:30 UTC,2015-04-16 18:46:30 UTC
235,3,30,511,2015-04-16 18:52:26 UTC,2015-04-16 18:52:26 UTC
236,4,30,196,2015-04-16 18:52:37 UTC,2015-04-16 18:52:37 UTC
237,5,30,195,2015-04-16 18:52:47 UTC,2015-04-16 18:52:47 UTC
238,6,30,510,2015-04-16 18:52:53 UTC,2015-04-16 18:52:53 UTC
239,7,30,509,2015-04-16 18:53:04 UTC,2015-04-16 18:53:04 UTC
240,8,30,508,2015-04-16 18:53:15 UTC,2015-04-16 18:53:15 UTC
241,9,30,507,2015-04-16 18:53:26 UTC,2015-04-16 18:53:26 UTC
242,10,30,506,2015-04-16 18:53:35 UTC,2015-04-16 18:53:35 UTC
243,11,30,505,2015-04-16 18:53:42 UTC,2015-04-16 18:53:42 UTC
244,12,30,504,2015-04-16 18:53:53 UTC,2015-04-16 18:53:53 UTC
245,13,30,503,2015-04-16 18:53:58 UTC,2015-04-16 18:53:58 UTC
257,25,30,211,2015-04-16 19:00:26 UTC,2015-04-16 19:00:26 UTC
258,26,30,213,2015-04-16 19:00:32 UTC,2015-04-16 19:00:32 UTC
259,27,30,459,2015-04-16 19:00:41 UTC,2015-04-16 19:00:41 UTC
260,0,32,62,2015-04-16 19:14:38 UTC,2015-04-16 19:14:38 UTC
261,0,33,16,2015-04-16 19:22:06 UTC,2015-04-16 19:22:06 UTC
262,1,33,407,2015-04-16 19:23:37 UTC,2015-04-16 19:23:37 UTC
