stop_id,stop_name,stop_lat,stop_lon
67,Ave 7 1/2 A Sur-R,9.008657,-79.487468
68,Avenida B,8.9566,-79.538592
69,Avenida 1c Norte-I,9.041578,-79.460822
70,Avenida 3c Norte,9.043279,-79.459964
71,Ave. Francisco Paredes-I,9.134699,-79.55046
72,Ave. Francisco Paredes-R,9.134867,-79.550515
73,Ave. Nacional-Control,8.978504,-79.537249
74,Av Primera-I,9.047617000000002,-79.410321
75,Av Primera-R,9.04762,-79.409829
76,Ave. Rayitos,9.138478,-79.55088100000002
77,Zona Azul,9.005838,-79.572833
78,Buenos Aires Interna-I,9.169245,-79.611912
79,Buenos Aires Interna-R,9.169552,-79.611656
80,La Bajada-I,9.090721,-79.365908
81,La Bajada-R,9.090195000000001,-79.366075
82,El Balboa-I,9.024153,-79.48683
83,El Balboa-R,9.02407,-79.486567
84,Balmoral-I,9.058964,-79.43251700000002
85,Balmoral-R,9.059276,-79.432303
86,Fabrica de Baldosas-I,9.114424000000001,-79.567645
87,Fabrica de Baldosas-R,9.11458,-79.567464
88,Hiedra y Bambu,9.015507,-79.475532
89,Barriada 24 de DIC,9.09435,-79.361544
90,Cerro Batea-I,9.063321,-79.49586500000001
91,Cerro Batea-R,9.063213,-79.495842
92,Agua Bendita Abajo-I,9.166192,-79.619749
93,Agua Bendita Abajo-R,9.166254,-79.619531
94,Bellavista,8.974568,-79.534436
95,Belen-I,9.082845,-79.397397
96,Belen-R,9.082818,-79.397273
97,Betania-I,9.002257000000002,-79.523411
98,Betania-R,9.002445,-79.52291
99,Banco General-I,9.021014,-79.486368
100,Banco General-R,9.021511,-79.486541
101,Bello Horizonte-I,9.053007,-79.41025
102,Bello Horizonte-R,9.053113,-79.41021
103,El Bloque,9.075791,-79.421533
104,Brisas Norte-I,9.070883,-79.457702
105,Brisas Norte-R,9.070864,-79.457114
106,BNP Via Porras,8.994002,-79.501234
107,BNP Milla 8-I,9.066463000000002,-79.517271
108,Banco Nacional de Veranillo-I,9.034297,-79.499795
109,Villa Bolivariana-R,9.135943,-79.552448
110,Ciudad Bolivar-I,9.132037,-79.548615
111,Ciudad Bolivar-R,9.13073,-79.54768
112,Bomberos Alcalde Diaz,9.118975,-79.555396
113,Los Bomberos Tocumen-I,9.082273,-79.384898
114,Los Bomberos Tocumen-R,9.082055,-79.384654
115,Don Bosco Interna,9.047408,-79.410461
116,Don Bosco-I,9.061648,-79.423183
117,Don Bosco-R,9.062141,-79.422526
118,Biblioteca Omar Torrijos-I,9.041339,-79.492862
119,Biblioteca Omar Torrijos-R,9.041529,-79.492816
120,Boulevard,8.964678,-79.53494
121,Boulevard Pacifica,8.977212,-79.508929
122,Buen Paisaje-I,9.188816,-79.61735
123,Buen Paisaje-R,9.18934,-79.617312
124,Bomberos Pedro Miguel-I,9.019156,-79.611435
125,Bomberos Pedro Miguel-R,9.019337,-79.611471
126,Patio Brinks,9.000841,-79.52901
127,Brisas del Golf-I,9.048786,-79.460676
128,Brisas del Golf-R,9.048474,-79.460772
129,El Brillante-I,9.087618,-79.366199
130,El Brillante-R,9.087637,-79.366383
131,Barriada San Antonio-I,9.051902,-79.445271
132,Barriada San Antonio-R,9.051766,-79.444939
133,Buenos Aires-I,9.171533,-79.616617
134,Calle C 10-I,9.075171,-79.49941500000001
135,Calle C 10-R,9.075062,-79.499666
136,Calle 12,8.957576,-79.540478
137,Calle 149 Este A,9.063116,-79.420303
138,Calle 21 Oeste,8.950973,-79.543608
139,Calle 23 Oeste,8.949041,-79.545715
140,Calle 23,9.023307,-79.505425
141,Calle 26 Este,8.962879,-79.535065
142,Calle 27 Este,8.964525,-79.537451
143,Calle 28 Calidonia,8.966367,-79.538989
144,Calle 32 Este,8.966613,-79.532695
145,Calle 36-I,9.058621,-79.447703
146,Calle 36-R,9.058451,-79.44777
147,Calle 39 Este,8.971052,-79.530322
148,Calle 3B-I,9.056638,-79.418025
149,Calle 3B-R,9.05689,-79.418116
150,Calle 40-I,9.060772,-79.448153
151,Calle 40-R,9.060561000000002,-79.448494
152,Calle 41 Este,8.972401,-79.528434
153,Calle 45 Este,8.975642,-79.531613
154,Calle 49 Este,8.974695,-79.520921
155,Calle 4 CB-I,9.121283,-79.54482
156,Calle 4 CB-R,9.121144,-79.544795
157,Calle 5 C-I,9.050684,-79.416819
158,Calle 5 C-R,9.050723,-79.416793
159,Calle 63 Oeste,9.000088,-79.526048
160,Calle 64 Oeste-I,8.999976,-79.525075
161,Calle 64 Oeste-R,8.99882,-79.52558
162,Calle 66 Oeste,9.004794,-79.526957
163,Calle 71-I,9.06513,-79.446909
164,Calle 71-R,9.065006,-79.446992
165,Calle 72 Oeste,9.009237,-79.530213
166,Calle 74 Oeste,9.012151,-79.521615
167,Calle 76B Oeste-R,9.018,-79.522597
168,Calle 76B Oeste,9.017977,-79.522492
169,Calle 78 B Este,8.996118,-79.499107
170,Calle 79 Este-I,8.999313,-79.497556
171,Calle 79 Este-R,8.999217,-79.497522
172,Calle 7 CB-I,9.124103,-79.544627
173,Calle 7 CB-R,9.123795,-79.544608
174,Calle 74 Oeste-R,9.011018,-79.521519
175,Calle 81 Oeste-I,9.024837,-79.510403
176,Calle 81 Oeste-R,9.024404,-79.510587
177,Calle 81A Oeste,9.013189,-79.509951
178,Calle 84 Este,9.006927,-79.502173
179,Calle 85 Oeste,9.015792,-79.505265
180,Calle 89 C Este,9.0051,-79.49545
181,Calle 90 Oeste,9.018033,-79.502745
182,Calle 92 Este-I,9.01461,-79.499221
183,Calle 92 Este-R,9.01477,-79.498657
184,Calle 95 C Este-I,9.008131,-79.491517
185,Calle 95 C Este-R,9.008095,-79.491508
186,Calle 139 Este-I,9.060026,-79.427889
187,Calle 134 Este,9.051601,-79.434969
188,Calle 4-I,9.054514,-79.418043
189,calle 4-R,9.054879,-79.4173
190,Calle 6-I,9.051337,-79.41405
191,Calle 6-R,9.051191,-79.414353
192,Calle 7ma Alcalde Diaz,9.12373,-79.545961
193,Calle A El Valle,9.072904,-79.509862
194,La Cabima-I,9.107812,-79.536794
195,La Cabima-R,9.107698000000001,-79.536662
196,Calle C Sta Librada-I,9.076437,-79.5037
197,Calle C Sta Librada-R,9.076489,-79.503725
198,Calle H-Control,8.95592,-79.540622
199,Caja de Ahorros-I,9.074347,-79.504521
200,Caja de Ahorros-R,9.07412,-79.504455
201,Esc. Carlos A. Mendoza-R,9.046176,-79.499245
202,Ave. Canfield,8.988503,-79.555997
203,Cancha Chilibre-I,9.186607,-79.614365
204,Cancha Chilibre-R,9.186706,-79.614201
205,Calle N-I,9.050051,-79.413
206,Calle N-R,9.050742,-79.413465
207,La Cancha,9.050401,-79.511424
208,Cancha Paraiso-I,9.028156,-79.621752
209,Cancha Paraiso-R,9.028564,-79.62195
210,La Cantera-I,9.127105,-79.58158
211,La Cantera-R,9.126941,-79.581501
212,Calle Anton-R,8.97928,-79.569196
213,Castilla de Oro,9.014793,-79.52426
214,Los Caobos-I,9.057438,-79.412983
215,Los Caobos-R,9.057739,-79.413081
216,Entrada Calle O-R,9.042875,-79.49472
217,Camping Resort-I,9.136736,-79.620946
218,Camping Resort-R,9.136871,-79.62085400000001
219,Carvajal-R,9.066527,-79.412588
220,Carrasquilla-I,8.99638,-79.519178
221,Carrasquilla-R,8.996211,-79.519009
222,Caseta Chilibre-I,9.180845,-79.611348
223,Caseta Chilibre-R,9.181142,-79.611147
224,Calle Bocas del Toro,8.94932,-79.547778
225,Calle C 5-I,9.077313,-79.491403
226,Cruce de Cabuya-Control,9.10301,-79.365751
227,Chilibre Centro Interno-I,9.152796,-79.618609
228,Chilibre Centro Interno-R,9.152633,-79.618573
229,Coca Cola-I,9.03368,-79.48732400000002
230,Coca Cola-R,9.034675,-79.48520300000001
231,Cementerio de Concepcion-R,9.05282,-79.435392
232,CC El Cruce,9.056511,-79.433579
233,Centro Deportivo Cabuya-I,9.088689,-79.366127
234,Centro Deportivo Cabuya-R,9.088898,-79.366207
235,Cementerio Amador,8.952264,-79.545403
236,Celio c.-I,9.043581,-79.416269
237,Celio c.-R,9.043495,-79.416074
