id,name,lat,lon,created_at,updated_at
341,Valle de Urracá R,9.068026,-79.488101,2015-04-07 02:27:19 UTC,2015-04-28 12:33:50 UTC
340,La Paz R,9.06437,-79.488627,2015-04-07 02:27:19 UTC,2015-04-28 12:40:54 UTC
337,Corregiduría de Mano de Piedra R,9.059216,-79.492291,2015-04-07 02:27:19 UTC,2015-04-28 12:28:26 UTC
343,Cerro Batea I,9.063618,-79.495729,2015-04-07 02:27:19 UTC,2015-04-28 12:31:17 UTC
342,Escuela Torrijos Carter I,9.069059,-79.492591,2015-04-07 02:27:19 UTC,2015-04-28 12:32:30 UTC
329,El Valle San Isidro I,9.067914,-79.507086,2015-04-07 02:27:19 UTC,2015-04-28 12:52:32 UTC
346,La Fula I,9.067395,-79.501711,2015-04-07 02:27:19 UTC,2015-04-28 12:49:24 UTC
347,Entrada El Pueblito R,9.06917,-79.503588,2015-04-07 02:27:19 UTC,2015-04-28 12:50:06 UTC
350,Estación de Buses de Veranillo,9.049455,-79.505011,2015-04-07 02:27:19 UTC,2015-04-28 18:14:34 UTC
319,El Pueblito R,9.069334,-79.505782,2015-04-07 02:27:19 UTC,2015-04-28 12:53:11 UTC
317,Policlinica Generoso Guardia R,9.071495,-79.505385,2015-04-07 02:27:19 UTC,2015-04-28 12:54:04 UTC
352,Policlínica María Valdés R,9.037951,-79.494683,2015-04-07 02:27:19 UTC,2015-04-28 18:37:47 UTC
354,Veranillo Circunvalación R,9.037368,-79.496636,2015-04-07 02:27:19 UTC,2015-04-28 18:37:14 UTC
390,Aquilino de la Guardia I,8.975808,-79.521891,2015-04-07 02:27:19 UTC,2015-04-28 22:52:31 UTC
323,Escuela Santiago de la Guardia I,9.073482,-79.511399,2015-04-07 02:27:19 UTC,2015-04-28 20:36:32 UTC
330,El Valle,9.075076,-79.514306,2015-04-07 02:27:19 UTC,2015-04-28 20:40:28 UTC
318,Entrada del Valle de San Isidro R,9.071257,-79.506437,2015-04-07 02:27:19 UTC,2015-04-28 20:59:27 UTC
399,Avenida B,8.956639,-79.53864,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
402,Boulevard Pacífica,8.977269,-79.509002,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
404,Vía Brasil,8.984952,-79.513596,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
405,IDAAN,8.989931,-79.516248,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
407,Calle Ernestina Sucre Tapia,8.98973,-79.521009,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
408,El Paical,8.99608,-79.53058,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
409,Vía Grecia,8.99435,-79.525739,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
410,El Carmen,8.99261,-79.523028,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
411,Parque Andrés Bello,8.989079,-79.526005,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
412,Monumento a Einstein,8.988454,-79.529007,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
413,Vía Argentina,8.987628,-79.530628,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
414,4 de Julio,8.959775,-79.542749,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
415,Instituto Nacional,8.957818,-79.54205,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
416,Escuela Justo Arosemena,8.954995,-79.542912,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
417,Junta Comunal El Chorrillo,8.953674,-79.542543,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
418,Central T Chorrillo,8.952696,-79.541113,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
419,Patio Pinel,8.952177,-79.543191,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
420,Cementerio Amador,8.952284,-79.545452,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
421,Parque Amelia Denis,8.951077,-79.546253,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
422,Calle 21 Oeste,8.951019,-79.543624,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
423,Parque de los Aburridos,8.951507,-79.542258,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
424,Universidad Nacional R,8.984301,-79.535183,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
