id,name,url,created_at,updated_at
86,Gran Estación - Transístmica - Albrook,http://www.mibus.com.pa/gran-estacion-transistmica-albrook/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
87,La Doña - Corredor Sur - Albrook,http://www.mibus.com.pa/corredor-sur-la-dona-albrook/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
88,Los Andes - Corredor Norte - Albrook,http://www.mibus.com.pa/los-andes-corredor-norte-albrook/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
89,Los Andes - Tumba Muerto,http://www.mibus.com.pa/los-andes-tumba-muerto/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
90,Los Andes - Tumba Muerto - Albrook,http://www.mibus.com.pa/los-andes-tumba-muerto-albrook/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
91,Los Andes - Tumba Muerto - Cervecería Nacional,http://www.mibus.com.pa/los-andes-tumba-muerto-cerveceria-nacional/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
92,Los Andes - Vía España,http://www.mibus.com.pa/los-andes-via-espana/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
93,Los Andes - Vía España - Albrook,http://www.mibus.com.pa/los-andes-via-espana-albrook/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
94,Los Andes - Vía España - Plaza Concordia,http://www.mibus.com.pa/los-andes-via-espana-plaza-concordia/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
95,Los Caobos - Corredor Sur - Estación Marañón,http://www.mibus.com.pa/los-caobos-corredor-sur-estacion-maranon/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
96,Mañanitas - Corredor Sur - Albrook,http://www.mibus.com.pa/mananitas-corredor-sur-albrook-2/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
97,Mañanitas - Gran Estación,http://www.mibus.com.pa/mananitas-gran-estacion/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
98,Mañanitas - Hora Valle - Albrook,http://www.mibus.com.pa/mananitas-hora-valle-albrook/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
99,Mañanitas - Tumba Muerto,http://www.mibus.com.pa/mananitas-tumba-muerto/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
100,Mañanitas - Tumba Muerto - Cervecería Nacional,http://www.mibus.com.pa/mananitas-tumba-muerto-cerveceria-nacional/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
101,Mañanitas - Tumba Muerto -Albrook,http://www.mibus.com.pa/mananitas-tumba-muerto-albrook-2/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
102,Mañanitas - Vía España,http://www.mibus.com.pa/mananitas-via-espana/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
103,Mañanitas - Vía España - Albrook,http://www.mibus.com.pa/mananitas-via-espana-albrook/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
104,Mañanitas - Vía España - Plaza Concordia,http://www.mibus.com.pa/mananitas-via-espana-plaza-concordia/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
105,Mano de Piedra - Corredor Norte - Albrook,http://www.mibus.com.pa/mano-de-piedra-corredor-norte-albrook/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
106,Mano de Piedra - Transístmica,http://www.mibus.com.pa/mano-de-piedra-transistmica/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
107,Mano de Piedra - Transístmica - Albrook,http://www.mibus.com.pa/mano-de-piedra-transistmica-albrook/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
108,Mano de Piedra - Transístmica - Cervecería Nacional,http://www.mibus.com.pa/mano-de-piedra-transistmica-cerveceria-nacional/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
109,Mano de Piedra - Tumba Muerto - Albrook,http://www.mibus.com.pa/mano-de-piedra-tumba-muerto-albrook/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
64,Plaza Concordia - Vía España - El Valle,http://www.mibus.com.pa/el-valle-via-espana-plaza-concordia/,2015-04-07 02:27:17 UTC,2015-04-28 21:27:32 UTC
83,Plaza Concordia - Vía España - Felipillo,http://www.mibus.com.pa/felipillo-via-espana-plaza-concordia/,2015-04-07 02:27:17 UTC,2015-05-03 23:50:47 UTC
